Date,Adj Close ^KLSE,Close ^KLSE,High ^KLSE,Low ^KLSE,Open ^KLSE,Volume ^KLSE,date,close
2024-05-24,1619.4000244140625,1619.4000244140625,1624.9599609375,1614.8299560546875,1624.9599609375,307419100,2024-05-24,1619.4000244140625
2024-05-27,1618.27001953125,1618.27001953125,1622.4000244140625,1617.97998046875,1620.6700439453125,177466500,2024-05-27,1618.27001953125
2024-05-28,1615.8199462890625,1615.8199462890625,1622.9300537109375,1612.9599609375,1620.6500244140625,214978500,2024-05-28,1615.8199462890625
2024-05-29,1605.3499755859375,1605.3499755859375,1614.7099609375,1605.3499755859375,1614.7099609375,218199800,2024-05-29,1605.3499755859375
2024-05-30,1604.260009765625,1604.260009765625,1608.8399658203125,1602.3199462890625,1603.2099609375,219690300,2024-05-30,1604.260009765625
2024-05-31,1596.6800537109375,1596.6800537109375,1612.31005859375,1595.3599853515625,1608.8800048828125,652449300,2024-05-31,1596.6800537109375
2024-06-04,1615.4000244140625,1615.4000244140625,1617.4100341796875,1595.3499755859375,1595.93994140625,280419400,2024-06-04,1615.4000244140625
2024-06-05,1608.530029296875,1608.530029296875,1622.6500244140625,1608.530029296875,1614.81005859375,197151900,2024-06-05,1608.530029296875
2024-06-06,1614.72998046875,1614.72998046875,1617.050048828125,1609.3399658203125,1611.8199462890625,233096300,2024-06-06,1614.72998046875
2024-06-07,1617.8599853515625,1617.8599853515625,1622.489990234375,1614.9300537109375,1615.969970703125,213524300,2024-06-07,1617.8599853515625
2024-06-10,1614.3699951171875,1614.3699951171875,1619.239990234375,1613.010009765625,1619.239990234375,158084400,2024-06-10,1614.3699951171875
2024-06-11,1611.489990234375,1611.489990234375,1617.3699951171875,1609.260009765625,1617.0,273386100,2024-06-11,1611.489990234375
2024-06-12,1608.949951171875,1608.949951171875,1618.989990234375,1608.949951171875,1616.6300048828125,202814000,2024-06-12,1608.949951171875
2024-06-13,1610.1700439453125,1610.1700439453125,1616.8399658203125,1609.1300048828125,1612.5799560546875,218593000,2024-06-13,1610.1700439453125
2024-06-14,1607.3199462890625,1607.3199462890625,1611.9000244140625,1604.47998046875,1611.0,225453600,2024-06-14,1607.3199462890625
2024-06-18,1606.1300048828125,1606.1300048828125,1615.0899658203125,1606.1300048828125,1609.3900146484375,232582800,2024-06-18,1606.1300048828125
2024-06-19,1599.7900390625,1599.7900390625,1609.219970703125,1599.7900390625,1608.469970703125,211950200,2024-06-19,1599.7900390625
